CompT_ini;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
AllEnergy;2093.9413;680333.4;334.38169;23764.011;30735.904;0;0;432571.86;1.0037181;0.8894304;0.0458241
AllComp;1000;2649324.6;1000;787958;785789.91;634492.24;668748.63;221416.3;1.557549;0.3796632;0.2447539
