Variable/Sectoral value;AllEnergy;AllComp
Households consumption Nominal 0 %share;2.85;97.15
Government consumption Nominal 0 %share;0;100
Investment Nominal 0 %share;0;100
Exports Nominal 0 share(%);85.25;14.75
Imports Nominal 0 share(%);1;99
