IC_Q,AllEn,AllCo,FC_Q,C,G,I,X
AllEn,119548.2,113656.1,AllEn,29520,0,0,434952.1
AllCo,118575.5,954524.6,AllCo,707514.8,614727.5,640609.9,223732
OthQ,AllEn,AllCo,,,,,
Y,674343.4,2524659.6,,,,,
M,23332.9,735024.8,,,,,
Labour,148.7,9896.4,,,,,
Capital_consumption,201356.5,599486.9,,,,,
,,,,,,,
Units,1 ktoe / ktons,,,,,,
