IC prices CO2,AllEn,AllCo,C,G,I,X,
AllEn,118.3,344.2,742,-1663.8,-1644.6,2884.3,
AllCo,990.6,990.6,990.6,973.7,990.6,967.2,
,,,,,,,
w,195784.6,41874,,,,,
pL,241107.4,45608.1,,,,,
pK,990.6,990.6,,,,,
pY,2074.2,978.9,,,,,
pM,334.4,1000,,,,,
p,2016,983.6,,,,,
,,,,,,,
Units,1 €/tep, €/tons,,,,,,
