CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
AllEnergy;2074.2185;674343.41;334.38169;23332.918;29519.968;0;0;434952.08;1.0108807;0.9024732;0.0513234
AllComp;978.88404;2524659.6;1000;735024.77;707514.84;614727.52;640609.89;223731.96;1.5828249;0.3849767;0.2458288
