CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
AllEnergy;-0.9418991;-0.8804498;0;-1.814056;-3.9560788;Nan;Nan;0.5502491;0.0071626;1.4664121;12.000721
AllComp;-2.1115957;-4.7055388;0;-6.7177726;-9.9613226;-3.1150455;-4.2076714;1.0458389;0.0252759;1.3995252;0.4391815
