IC prices CO2,AllEn,AllCo,C,G,I,X,
AllEn,118.3,344.2,742,-1644.6,-1644.6,2910.8,
AllCo,990.6,990.6,990.6,990.6,990.6,984.1,
,,,,,,,
w,204786.3,43799.2,,,,,
pL,251352.1,47525.2,,,,,
pK,990.6,990.6,,,,,
pY,2093.9,1000,,,,,
pM,334.4,1000,,,,,
p,2034.6,1000,,,,,
,,,,,,,
Units,1 €/tep, €/tons,,,,,,
