IC_Q,AllEn,AllCo,FC_Q,C,G,I,X
AllEn,120894.2,119895.5,AllEn,30735.9,0,0,432571.9
AllCo,119910.6,1006924.9,AllCo,785789.9,634492.2,668748.6,221416.3
OthQ,AllEn,AllCo,,,,,
Y,680333.4,2649324.6,,,,,
M,23764,787958,,,,,
Labour,154.8,10749.7,,,,,
Capital_consumption,203623.6,632396.8,,,,,
,,,,,,,
Units,1 ktoe / ktons,,,,,,
