SpeMarg_X,OthPart_IOT,SpeMarg,SpeMarg_FC,
VA_Tax,OthPart_IOT,Taxes,,
Energy_Tax_IC,OthPart_IOT,Taxes,,
Energy_Tax_FC,OthPart_IOT,Taxes,,
ClimPolCompensbySect,OthPart_IOT,Taxes,,
OtherIndirTax,OthPart_IOT,Taxes,,
Crude_oil,Sectors,NonSupplierSect,,
Natural_gas,Sectors,NonSupplierSect,,
Coking_coal,Sectors,NonSupplierSect,,
Bituminous_coal,Sectors,,,
Coke,Sectors,,,
Other_coal,Sectors,,,
Gasoline,Sectors,,,
LPG,Sectors,,,
Jetfuel,Sectors,,,
Fuel,Sectors,,,
Fuel_oil,Sectors,,,
Heavy_fuel_oil,Sectors,,,
Other_fuel_prod,Sectors,,,
Electricity,Sectors,,,
HeatGeoSol_Th,Sectors,,,
Steel_Iron,Sectors,,,
NonFerrousMetals,Sectors,,,
Cement,Sectors,,,
OthMin,Sectors,,,
Buildings_constr,Sectors,,,
Work_constr,Sectors,,,
ChemicalPharma,Sectors,,,
Paper,Sectors,,,
Mining,Sectors,,,
Automobile,Sectors,,,
OthTranspEquip,Sectors,,,
Load_PipeTransp,Sectors,,,
PassTransp,Sectors,,,
NavalTransp,Sectors,,,
AirTransp,Sectors,,,
Agri_Forestry,Sectors,,,
Fishing,Sectors,,,
Food_industry,Sectors,,,
Property_business,Sectors,,,
Comp,Sectors,,,
C,FC,,,
G,FC,,,
I,FC,,,
X,FC,,,
I,I,,,
X,X,,,
