;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp
Labour;75.79158203;13.58139797;19.21652718;46.169;650.415;3.02;81.38546546;170.5853433;664.7871913;10902.5128;29.59851119;35.59038914;153.0560997
Thousand_of_Full-time equivalent;0;0;0;0;0;0;0;0;0;0;0;0;0
