;Agri;Coal;Crude_oil;Ferrous_min;Non_ferrous_min;Non_metallic_min;Agri_food;Food;Beverage;Tobacco;Textile;Wearing;Leather;Wood;Furniture;Paper;Print;Culture;Refinery;Coke;Chemical_product;Medicine;Fiber;Rubber;Plastic;Non_metallic;Ferrous_press;Non_ferrous_press;Metal_product;General_equip;Specila_equip;Trans_equip;Electric_equip;Communi_equip;Measure_ins_equip;Art_manufact;Waste;Electricity;Gas;Water;Construction;Transport;Commerce;Others
Labour;38559.14428;132.5755368;132.5755368;132.5755368;132.5755368;132.5755368;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;308.1261586;171.8451963;171.8451963;308.1261586;4620.626029;2473.431401;5897.779929;13282.41321
Thousand of Full-time equivalent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
